"Phase","Code","File","utt_dur","F0_max","F0_min","F0_mean","F0_SD","F0_range","Int_max","Int_min","Int_mean","Int_SD","Int_range","Faculty","Mod1A","Mod2A","Mod3A","Mod4A","Mod5A","Mod1B","Mod2B","Mod3B","Mod4B","Mod5B","Mod1","Mod2","Mod3","Mod4","Mod5","scoreA","scoreB","score","Arm","Group"
"test","A14","A14_ArmC2_processed.wav",1688.899,269.703,184.3166,234.7342036,19.34627053,85.1914462,63.78642,24.59129,54.08116746,8.487669001,31.92899023,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1130.103,292.8853,187.4321,226.8370225,26.97919897,104.9902533,69.7534,25.07703,57.85552663,8.2772177,37.1851102,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",859.045,250.0858,174.2547,216.4687141,18.32515527,75.3689579,65.75993,25.50038,54.66033028,10.849328,34.79521656,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1497.074,290.1845,178.8375,229.798603,32.1208956,111.2345195,67.20008,24.73203,55.61918271,9.104379702,34.27770839,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1484.563,301.8538,82.57096,252.0362818,40.66441905,219.1230983,69.38483,24.65899,60.51932484,8.416925446,36.93550031,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1367.8,264.9057,175.2974,220.5194569,25.56851691,86.3866205,69.62587,24.87749,56.25467527,10.57429036,39.03035115,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",3778.13,313.2239,161.4402,226.43502,31.25695015,148.2510061,70.50989,24.73675,56.24194138,10.02607967,39.79886055,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",992.4889,257.4828,164.5956,216.5895358,22.09957643,91.0416588,64.02245,24.43497,53.84414039,10.19800017,33.69230156,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",717.2609,298.9057,171.7013,229.7220422,32.44477937,126.7663703,67.80206,25.61828,55.22932476,9.264552549,34.63131519,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1895.208,291.5248,179.4531,217.6986578,24.69704196,111.841218,68.54183,24.11271,56.54125155,9.151123809,38.27189099,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",633.8921,280.8083,159.088,225.403165,38.86059807,121.4460312,63.08217,24.8502,48.46147047,8.3297231,32.58596433,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1410.087,268.6311,172.5671,230.5032223,18.98016495,94.2355318,65.1504,24.25996,54.45254367,9.818017088,34.30708999,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1112.545,279.6106,155.3314,237.8483255,26.70741857,123.2923121,65.78576,25.14774,55.9757621,9.394808434,35.73296848,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",685.6384,296.0794,178.6072,255.3422127,30.45125707,116.7148253,72.75097,24.40393,60.15564798,11.23549828,40.44618267,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1384.213,312.6152,181.0462,236.2511546,42.80150853,131.2433948,66.92113,24.61732,55.17627711,9.052414099,36.35023621,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",2703.744,280.0873,190.4081,237.9732679,24.90413382,89.6112822,69.74202,24.14198,56.80512446,11.0885857,39.11827848,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",608.019,274.0841,169.3955,234.6163919,35.29654153,103.3393961,65.03834,24.5326,48.4618849,10.52144118,34.2077682,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",3085.373,323.0632,143.9924,276.9771926,44.76854306,177.9346795,70.0636,24.1169,57.06817108,10.39367988,39.05831111,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",3544.621,353.7234,181.5094,263.0614197,32.98648074,171.8321272,74.55275,24.46063,60.27504772,12.76740764,44.28140294,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1571.794,332.565,155.4505,259.9659096,38.64106999,173.7139671,74.14589,24.34584,62.62870689,11.8327512,42.76702619,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1836.994,331.0636,170.0766,256.615947,42.26321292,158.4093971,75.35458,26.25097,61.50729497,11.09757123,44.49439559,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",530.3995,304.2,202.5584,251.110485,32.75872153,100.5114026,71.98034,28.71589,57.09382705,10.78440634,39.41000665,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1190.165,302.6457,168.1476,248.9800033,31.5964927,129.9360562,72.98827,24.98977,59.20611005,11.65628074,42.88875742,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",640.3604,287.6435,185.8698,226.9596448,32.40531199,101.6999973,71.89589,25.6021,54.93552086,11.25474584,41.39637449,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",705.0433,269.4169,162.5028,230.5361771,26.26512641,106.6847654,65.42954,24.85314,51.76696555,8.502141958,31.5286595,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",232.8583,271.1866,179.2119,214.9935006,26.70807443,88.2979596,60.17304,24.42794,51.43955177,7.679096905,25.77781322,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",2807.237,319.7245,180.0366,250.0147773,30.72219576,135.9705812,72.58519,24.24696,59.71313412,10.57977515,42.31275088,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",685.6384,294.6828,184.3395,257.085689,31.44573002,106.1581566,68.08299,24.70701,52.62977735,12.21302892,37.38536064,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",711.5116,285.7516,165.7946,249.857318,33.00774235,119.0734776,70.15898,25.24259,59.27814477,10.0196226,39.1651691,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1461.833,507.2105,131.9637,252.416504,57.95528532,361.607517,71.55054,26.02484,59.82917638,8.708044759,38.21615477,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",485.1215,278.8529,160.7822,234.8023228,42.8555414,117.9638776,70.74832,25.1267,56.39949227,10.31132382,40.45163808,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",2115.13,312.3156,176.8885,248.6814622,28.26367936,132.6326668,72.17075,26.29939,59.63280633,11.14289803,41.79438095,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1468.301,278.041,181.5477,230.6723964,26.59041483,96.2886239,68.1628,24.6772,53.38518946,10.72606413,37.60081007,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",2406.203,305.5355,81.77502,232.4564139,28.56042239,223.7604703,72.24859,24.5373,59.36759926,10.16123693,41.60015098,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",401.0338,263.5011,174.2043,233.100858,30.13612028,89.121952,69.05595,27.68416,55.06538561,10.69268657,37.98222694,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",316.9461,245.212,208.5793,220.7429854,11.21135315,34.5291122,60.30025,24.86034,50.86466234,9.33442584,28.13086296,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1584.73,309.065,190.6648,230.8136945,30.44014908,118.1106798,69.95837,24.45798,57.53231291,10.48634776,39.67005304,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",2056.915,328.2374,195.5895,258.1450959,33.19565428,129.3446041,72.91669,27.58451,63.25123218,8.2927499,40.6954916,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",3583.431,312.5217,175.1402,233.387426,28.11660646,136.082456,74.53495,24.47176,60.61302676,9.415439315,41.81208478,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",2807.237,303.4134,118.3698,240.8784615,38.69246154,184.9067175,72.34303,24.2707,59.79612528,10.44101627,40.69689719,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",5252.249,332.4397,179.7511,251.9914386,34.66743459,150.6065543,74.35451,24.25589,60.30142528,11.24290636,44.06670871,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",4165.577,317.2873,123.6086,240.4970872,30.19171208,187.7022474,71.93387,24.26306,61.60590277,9.237412956,41.57374219,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",2123.873,269.3378,217.9341,247.8315211,15.74232023,46.2393091,70.51904,24.06218,42.68332464,12.28774462,40.37185456,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1416.555,262.1268,190.0245,232.0613779,19.14378785,71.9542661,70.64093,24.35246,54.20498405,12.71608034,40.31992574,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",4041.644,328.3745,158.4479,265.8524,33.04449842,168.535372,73.06736,24.0489,63.15041474,10.17986418,42.79081793,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",239.3266,254.3026,158.0231,195.1723644,28.99088114,94.0720268,55.38129,26.163,48.17578101,6.139789816,20.286587,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",2347.988,319.5693,173.9516,238.5191335,36.26281353,145.5602128,73.14299,24.55084,61.32024226,9.721450063,43.06033133,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",789.131,385.5935,206.3529,278.8585725,43.48281598,163.2018388,71.69496,25.45605,58.70693305,10.92569768,40.5503281,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",2943.071,316.7931,173.8852,239.1113919,29.8629549,142.6681362,73.02763,24.65865,58.81593651,10.44007788,42.95998771,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",2276.837,291.012,198.6405,244.1417395,22.52167738,91.7100856,72.8961,25.30535,59.98962126,10.14183387,41.56441367,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1888.74,283.5386,200.995,238.5068888,18.79929897,80.0867148,70.81459,24.23478,59.01703476,11.60902919,40.64869498,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",2263.9,303.172,151.9814,231.319915,35.77911299,150.3823294,73.36735,24.18536,58.4743693,10.61294373,42.5041108,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",3053.031,312.013,176.7037,245.3363669,29.15813328,134.7669893,71.90871,24.41078,60.70738039,9.897746729,40.74458781,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",575.6775,224.7241,171.019,209.6076655,13.67887811,53.5886799,61.76294,23.98825,49.18678138,9.349126738,30.48994882,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",989.6479,270.4296,171.2502,238.6875395,24.30483685,98.4652063,67.54952,26.48745,54.43694827,11.6930919,37.14080292,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",918.4968,317.7971,190.0225,252.7534629,42.95971743,124.7986833,73.40901,32.12778,60.77301703,8.473562658,41.62438759,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
"test","A14","A14_ArmC2_processed.wav",1940.486,300.7119,184.4198,232.7600415,34.09276356,114.3474903,72.20615,24.24287,58.00151753,10.89454698,41.01392845,"Nurse",15,18,18,18,14,14,15,18,20,17,14.5,16.5,18,19,15.5,83,84,83.5,"C2","C"
